Year,FE index,PE index,GHG index
1990,1,1,1
1991,1.031001276,1.028293171,1.017595917
1992,1.045103808,1.024481717,1.018971571
1993,1.085464322,1.075061514,1.079063268
1994,1.073402637,1.069079466,1.071710525
1995,1.081017772,1.093069876,1.078795404
1996,1.149698442,1.151230786,1.141141097
1997,1.102671866,1.11937822,1.131477256
1998,1.057868512,1.118765665,1.139392719
1999,1.100324174,1.154285592,1.16450438
2000,1.15658078,1.20549819,1.230382131
2001,1.129728999,1.182860867,1.216280895
2002,1.156511745,1.227028168,1.248583336
2003,1.193800734,1.246716821,1.279169582
2004,1.174153383,1.244475155,1.274216188
2005,1.188942759,1.275835469,1.309160924
2006,1.109330511,1.220204765,1.236981119
2007,1.168412074,1.270304824,1.287999726
2008,1.195249224,1.279084012,1.281701825
2009,1.163691138,1.244476689,1.201240062
2010,1.192479906,1.29245444,1.255785535
2011,1.167165433,1.262174317,1.192737999
2012,1.068912915,1.172933663,1.082566255
2013,1.179554053,1.242688491,1.141930152
2014,1.21663738,1.265941498,1.157874245
2015,1.159733704,1.21706165,1.076673263
2016,1.11713513,1.191013687,1.01955298
2017,1.112515273,1.173670771,0.983046747
2018,1.235149678,1.269293402,1.054460339
2019,1.230967006,1.240374572,0.992747966
2020,1.192673795,1.207670475,0.928364729
