"","Effect","Space_heating","Space_cooling","DHW","Other","Total_Energy"
"1","1990",359.364981065337,105.594074444951,133.321669501956,393.217354304311,991.498079316555
"2","Population",72.3020811995854,24.6124314646371,29.5590273616289,96.6183814024493,223.091921428301
"3","Region",-10.8562030775647,6.5152608235651,0.0974341532002297,7.85686132516383,3.61335322436444
"4","Type",-5.39530545952652,0.458363439864917,0.480729357905733,-1.91367161650727,-6.36988427826314
"5","Cohort",-32.2944877606034,6.26540382866274,1.27396361408067,-0.686369322459379,-25.4414896403194
"6","Fuel",-16.6654547702595,0,6.06798769857564,0,-10.5974670716838
"7","Occupancy",25.1807705361737,9.8048770139471,0,30.8276309057925,65.8132784559133
"8","Conditioned Space",17.1561215317051,18.8642884360247,0,0,36.0204099677298
"9","Intensity",-16.5985636470071,-26.8359303855836,20.7537452190647,8.55622048100403,-14.1245283325219
"10","GHG Intensity",-26.2381708963203,-41.5214789222744,-23.4494417895971,-144.510000268187,-235.719091876379
"11","Weather",8.87133238377546,15.6795690157483,0.330350426046247,0,24.88125182557
"12","2015",374.825563127928,119.436859159543,168.435465542861,389.966407211567,1052.6642950419
"13","Total_Change",15.4621200399581,13.842784714592,35.1137960409051,-3.2509470927442,61.167753702711
