"","Effect","kg","Mton","Effect3","kg3","Mton3","Effect1","kg1","Mton1"
"1","1990",133321669501.956,133.321669501956,"1990",133321669501.956,133.321669501956,"1990",133321669501.956,133.321669501956
"2","Population",3863655828.21746,3.86365582821746,"Population",15197961995.0823,15.1979619950823,"Population",29559027361.6289,29.5590273616289
"3","Region",23174149.6916098,0.0231741496916098,"Region",-295544505.365376,-0.295544505365376,"Region",97434153.2002297,0.0974341532002297
"4","Type",3345159.4425747,0.0033451594425747,"Type",-1464284221.64472,-1.46428422164472,"Type",480729357.905733,0.480729357905733
"5","Cohort",-304326262.599578,-0.304326262599578,"Cohort",-294735107.062991,-0.294735107062991,"Cohort",1273963614.08067,1.27396361408067
"6","Fuel",3197057028.50992,3.19705702850992,"Fuel",1113326971.17192,1.11332697117192,"Fuel",6067987698.57564,6.06798769857564
"7","Intensity",-16618006988.3799,-16.6180069883799,"Intensity",-4601274952.69582,-4.60127495269582,"Intensity",20753745219.0647,20.7537452190647
"8","GHG Intensity",-132860181.83131,-0.13286018183131,"GHG Intensity",-285444124.776961,-0.285444124776961,"GHG Intensity",-23449441789.5971,-23.4494417895971
"9","Weather",21492590868.3914,21.4925908683914,"Weather",4743514545.58912,4.74351454558912,"Weather",330350426.046247,0.330350426046247
"10","1993",144846299103.398,144.846299103398,"2001",147435190102.254,147.435190102254,"2015",168435465542.861,168.435465542861
"11","Population",11334306166.8648,11.3343061668648,"Population",9732937671.31557,9.73293767131557,"NA",0,0
"12","Region",-318718655.056986,-0.318718655056986,"Region",402194907.209528,0.402194907209528,"NA",0,0
"13","Type",-1467629381.0873,-1.4676293810873,"Type",2118281490.81735,2.11828149081735,"NA",0,0
"14","Cohort",9591155.53658629,0.00959115553658629,"Cohort",928435770.795564,0.928435770795564,"NA",0,0
"15","Fuel",-2083730057.338,-2.083730057338,"Fuel",2654134657.08891,2.65413465708891,"NA",0,0
"16","Intensity",12016732035.6841,12.0167320356841,"Intensity",-9225432920.24696,-9.22543292024696,"NA",0,0
"17","GHG Intensity",-152583942.945651,-0.152583942945651,"GHG Intensity",-10256292903.0092,-10.2562929030092,"NA",0,0
"18","Weather",-16749076322.8023,-16.7490763228023,"Weather",9282263826.43804,9.28226382643804,"NA",0,0
"19","2001",147435190102.254,147.435190102254,"2009",153071712602.662,153.071712602662,"NA",0,0
"20","Population",5992868338.45432,5.99286833845432,"Population",4628127695.23109,4.62812769523109,"NA",0,0
"21","Region",-10210539.8709029,-0.0102105398709029,"Region",-9216248.64392153,-0.00921624864392153,"NA",0,0
"22","Type",2323042216.56634,2.32304221656634,"Type",-173267911.2669,-0.1732679112669,"NA",0,0
"23","Cohort",1143185227.42946,1.14318522742946,"Cohort",640262950.348101,0.640262950348102,"NA",0,0
"24","Fuel",809554286.676282,0.809554286676282,"Fuel",2300526070.31481,2.30052607031481,"NA",0,0
"25","Intensity",18318912525.1432,18.3189125251432,"Intensity",34580453092.0075,34.5804530920075,"NA",0,0
"26","GHG Intensity",-3462896610.42865,-3.46289661042865,"GHG Intensity",-12907704761.811,-12.907704761811,"NA",0,0
"27","Weather",2904068000.43203,2.90406800043203,"Weather",-13695427945.9809,-13.6954279459809,"NA",0,0
"28","2005",175453713546.656,175.453713546656,"2015",168435465542.861,168.435465542861,"NA",0,0
"29","Population",3740069332.86125,3.74006933286125,"NA",0,0,"NA",0,0
"30","Region",412405447.080431,0.412405447080431,"NA",0,0,"NA",0,0
"31","Type",-204760725.748984,-0.204760725748984,"NA",0,0,"NA",0,0
"32","Cohort",-214749456.633897,-0.214749456633897,"NA",0,0,"NA",0,0
"33","Fuel",1844580370.41263,1.84458037041263,"NA",0,0,"NA",0,0
"34","Intensity",-27544345445.3902,-27.5443454453902,"NA",0,0,"NA",0,0
"35","GHG Intensity",-6793396292.58051,-6.79339629258051,"NA",0,0,"NA",0,0
"36","Weather",6378195826.00601,6.37819582600601,"NA",0,0,"NA",0,0
"37","2009",153071712602.662,153.071712602662,"NA",0,0,"NA",0,0
"38","Population",4628127695.23109,4.62812769523109,"NA",0,0,"NA",0,0
"39","Region",-9216248.64392153,-0.00921624864392153,"NA",0,0,"NA",0,0
"40","Type",-173267911.2669,-0.1732679112669,"NA",0,0,"NA",0,0
"41","Cohort",640262950.348101,0.640262950348102,"NA",0,0,"NA",0,0
"42","Fuel",2300526070.31481,2.30052607031481,"NA",0,0,"NA",0,0
"43","Intensity",34580453092.0075,34.5804530920075,"NA",0,0,"NA",0,0
"44","GHG Intensity",-12907704761.811,-12.907704761811,"NA",0,0,"NA",0,0
"45","Weather",-13695427945.9809,-13.6954279459809,"NA",0,0,"NA",0,0
"46","2015",168435465542.861,168.435465542861,"NA",0,0,"NA",0,0
