"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",2425723856662.9,2559.13866877936,"1990",2425723856662.9,2559.13866877936,"1990",2425723856662.9,2559.13866877936
"2","Population",69982597056.5699,73.8316398946813,"Population",271818414542.487,286.768427342324,"Population",537417522157.446,566.975485876105
"3","Region",2225753998.03499,2.34817046792692,"Region",-1983248294.84897,-2.09232695106566,"Region",1195609399.74974,1.26136791673598
"4","Type",-3237062063.47414,-3.41510047696521,"Type",-19060997580.5967,-20.1093524475295,"Type",9639137856.30817,10.1692904384051
"5","Cohort",-6916679195.51951,-7.29709655127309,"Cohort",-12812947546.8079,-13.5176596618823,"Cohort",13392305812.8977,14.128882632607
"6","Fuel",35949515179.9661,37.9267385148642,"Fuel",15004273574.133,15.8295086207103,"Fuel",138644982711.874,146.270456761027
"7","Intensity",-289899019264.849,-305.843465324416,"Intensity",-131629124051.794,-138.868725874643,"Intensity",443617464148.448,468.016424676612
"8","Electricity Efficiency",-11239904667.5143,-11.8580994242276,"Electricity Efficiency",-29026903641.2301,-30.6233833414977,"Electricity Efficiency",-158320827555.427,-167.028473070976
"9","Weather",373223923957.74,393.751239775415,"Weather",87152756490.1923,91.9461580971528,"Weather",-27905534705.4307,-29.4403391142293
"10","1993",2595812981663.85,2738.58269565537,"2001",2605186080154.44,2748.47131456293,"2015",3383404516488.76,3569.49176489565
"11","Population",201835817485.917,212.936787447643,"Population",175738004742.741,185.403595003592,"NA",0,0
"12","Region",-4209002292.88396,-4.44049741899258,"Region",1070339591.00204,1.12920826850715,"NA",0,0
"13","Type",-15823935517.1226,-16.6942519705643,"Type",32013312268.9939,33.7740444437886,"NA",0,0
"14","Cohort",-5896268351.28836,-6.22056311060922,"Cohort",10998572330.0585,11.6034938082118,"NA",0,0
"15","Fuel",-20945241605.8331,-22.0972298941539,"Fuel",40544331074.4765,42.7742692835727,"NA",0,0
"16","Intensity",158269895213.055,166.974739449773,"Intensity",-116474218210.743,-122.880300212334,"NA",0,0
"17","Electricity Efficiency",-17786998973.7157,-18.7652839172701,"Electricity Efficiency",-46745400305.8776,-49.3163973227009,"NA",0,0
"18","Weather",-286071167467.547,-301.805081678262,"Weather",163059963803.509,172.028261812702,"NA",0,0
"19","2001",2605186080154.44,2748.47131456293,"2009",2865390985448.6,3022.98748964827,"NA",0,0
"20","Population",107066764317,112.955436354435,"Population",89861102872.2173,94.8034635301893,"NA",0,0
"21","Region",-1927042872.30216,-2.03303023027878,"Region",2108518103.59667,2.22448659929449,"NA",0,0
"22","Type",37522699036.2596,39.5864474832539,"Type",-3313176832.08903,-3.49540155785393,"NA",0,0
"23","Cohort",17239405954.5126,18.1875732820108,"Cohort",15206681029.647,16.0430484862776,"NA",0,0
"24","Fuel",3570425195.49809,3.76679858125048,"Fuel",83096378063.2646,87.6666788567442,"NA",0,0
"25","Intensity",349954900610.753,369.202420144345,"Intensity",691720806410.985,729.765450763589,"NA",0,0
"26","Electricity Efficiency",-19963442692.422,-21.0614320405053,"Electricity Efficiency",-82548523608.3197,-87.0886924067773,"NA",0,0
"27","Weather",51966738413.3972,54.8249090261341,"Weather",-278118254999.132,-293.414759024085,"NA",0,0
"28","2005",3150616528117.13,3323.90043716357,"2015",3383404516488.76,3569.49176489565,"NA",0,0
"29","Population",68671240425.7409,72.4481586491566,"NA",0,0,"NA",0,0
"30","Region",2997382463.3042,3.16223849878593,"NA",0,0,"NA",0,0
"31","Type",-5509386767.26573,-5.81240303946535,"NA",0,0,"NA",0,0
"32","Cohort",-6240833624.45407,-6.58407947379904,"NA",0,0,"NA",0,0
"33","Fuel",36973905878.9784,39.0074707023222,"NA",0,0,"NA",0,0
"34","Intensity",-466429118821.496,-492.082720356679,"NA",0,0,"NA",0,0
"35","Electricity Efficiency",-26781957613.4556,-28.2549652821957,"NA",0,0,"NA",0,0
"36","Weather",111093225390.112,117.203352786568,"NA",0,0,"NA",0,0
"37","2009",2865390985448.6,3022.98748964827,"NA",0,0,"NA",0,0
"38","Population",89861102872.2173,94.8034635301893,"NA",0,0,"NA",0,0
"39","Region",2108518103.59667,2.22448659929449,"NA",0,0,"NA",0,0
"40","Type",-3313176832.08903,-3.49540155785393,"NA",0,0,"NA",0,0
"41","Cohort",15206681029.647,16.0430484862776,"NA",0,0,"NA",0,0
"42","Fuel",83096378063.2646,87.6666788567442,"NA",0,0,"NA",0,0
"43","Intensity",691720806410.985,729.765450763589,"NA",0,0,"NA",0,0
"44","Electricity Efficiency",-82548523608.3197,-87.0886924067773,"NA",0,0,"NA",0,0
"45","Weather",-278118254999.132,-293.414759024085,"NA",0,0,"NA",0,0
"46","2015",3383404516488.76,3569.49176489565,"NA",0,0,"NA",0,0
