"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",6992917311315.23,7377.52776343757,"1990",6992917311315.23,7377.52776343757,"1990",6992917311315.23,7377.52776343757
"2","Population",207402413886.822,218.809546650597,"Population",867153207442.719,914.846633852069,"Population",1747553013384.71,1843.66842912086
"3","Region",15198631184.3513,16.0345558994907,"Region",49441237559.9148,52.1605056257102,"Region",63496256884.0527,66.9885510126756
"4","Type",-29104176379.5502,-30.7049060804255,"Type",-85060830042.1325,-89.7391756944498,"Type",-24507153132.9468,-25.8550465552589
"5","Cohort",-34208795983.2996,-36.0902797623811,"Cohort",-45725383142.4022,-48.2402792152343,"Cohort",-1352640688.17413,-1.4270359260237
"6","Occupancy",24164119099.9777,25.4931456504764,"Occupancy",287778036918.144,303.605828948642,"Occupancy",507527510937.53,535.441524039094
"7","Intensity",341498464431.389,360.280879975115,"Intensity",1211365190351.75,1277.9902758211,"Intensity",-11295815789.6604,-11.9170856580917
"8","Electricity Efficiency",-71842234894.3628,-75.7935578135527,"Electricity Efficiency",-187177416771.78,-197.472174694227,"Electricity Efficiency",-954749915267.136,-1007.26116060683
"9","1993",7446025732660.56,7855.55714795689,"2001",9090691353631.45,9590.67937808118,"2015",8319588567643.6,8777.165938864
"10","Population",659750793555.897,696.037087201471,"Population",605158947796.317,638.442689925115,"NA",0,0
"11","Region",34242606375.5635,36.1259497262195,"Region",10635459387.0933,11.2204096533834,"NA",0,0
"12","Type",-55956653662.5823,-59.0342696140243,"Type",119736996848.962,126.322531675655,"NA",0,0
"13","Cohort",-11516587159.1026,-12.1499994528533,"Cohort",78888031000.3101,83.2268727053272,"NA",0,0
"14","Occupancy",263613917818.167,278.112683298166,"Occupancy",71023608181.827,74.9299066318275,"NA",0,0
"15","Intensity",869866725920.364,917.709395845984,"Intensity",674934710560.302,712.056119641118,"NA",0,0
"16","Electricity Efficiency",-115335181877.417,-121.678616880675,"Electricity Efficiency",-337139528344.68,-355.682202403637,"NA",0,0
"17","2001",201,2.12055e-07,"2009",10313929579061.6,10881.19570591,"NA",0,0
"18","Population",367624338229.349,387.843676831963,"Population",275240858145.668,290.37910534368,"NA",0,0
"19","Region",-6004617916.60575,-6.33487190201906,"Region",3419559937.04461,3.60763573358207,"NA",0,0
"20","Type",149337208351.213,157.55075481053,"Type",-59183319939.7761,-62.4384025364638,"NA",0,0
"21","Cohort",57796913530.2742,60.9757437744393,"Cohort",-34515288546.082,-36.4136294161165,"NA",0,0
"22","Occupancy",166056074702.478,175.189158811114,"Occupancy",148725865837.558,156.905788458624,"NA",0,0
"23","Intensity",242015383379.493,255.326229465365,"Intensity",-1897595716701.72,-2001.96348112031,"NA",0,0
"24","Electricity Efficiency",-134829125915.499,-142.244727840851,"Electricity Efficiency",-430432970150.677,-454.106783508964,"NA",0,0
"25","2005",9932687527992.15,10478.9853420317,"2015",8319588567643.6,8777.165938864,"NA",0,0
"26","Population",237534609566.968,250.599013093151,"NA",0,0,"NA",0,0
"27","Region",16640077303.699,17.5552815554024,"NA",0,0,"NA",0,0
"28","Type",-29600211502.2517,-31.2282231348755,"NA",0,0,"NA",0,0
"29","Cohort",21091117470.0359,22.2511289308879,"NA",0,0,"NA",0,0
"30","Occupancy",-95032466520.651,-100.259252179287,"NA",0,0,"NA",0,0
"31","Intensity",432919327180.809,456.729890175753,"NA",0,0,"NA",0,0
"32","Electricity Efficiency",-202310402429.181,-213.437474562786,"NA",0,0,"NA",0,0
"33","2009",10313929579061.6,10881.19570591,"NA",0,0,"NA",0,0
"34","Population",275240858145.668,290.37910534368,"NA",0,0,"NA",0,0
"35","Region",3419559937.04461,3.60763573358207,"NA",0,0,"NA",0,0
"36","Type",-59183319939.7761,-62.4384025364638,"NA",0,0,"NA",0,0
"37","Cohort",-34515288546.082,-36.4136294161165,"NA",0,0,"NA",0,0
"38","Occupancy",148725865837.558,156.905788458624,"NA",0,0,"NA",0,0
"39","Intensity",-1897595716701.72,-2001.96348112031,"NA",0,0,"NA",0,0
"40","Electricity Efficiency",-430432970150.677,-454.106783508964,"NA",0,0,"NA",0,0
"41","2015",8319588567643.6,8777.165938864,"NA",0,0,"NA",0,0
