"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",526659330238.185,555.625593401285,"1990",526659330238.185,555.625593401285,"1990",526659330238.185,555.625593401285
"2","Population",14050016104.0623,14.8227669897857,"Population",59129281059.6932,62.3813915179763,"Population",131021142142.854,138.22730496071
"3","Region",1307929165.77775,1.37986526989553,"Region",15110899409.2563,15.9419988767654,"Region",32490781577.4049,34.2777745641622
"4","Type",2457422951.38383,2.59258121370994,"Type",-2082360971.49112,-2.19689082492313,"Type",674073141.061646,0.711147163820036
"5","Cohort",-1848666907.24946,-1.95034358714818,"Cohort",9146629630.21082,9.64969425987241,"Cohort",33974899912.9144,35.8435194081247
"6","Occupancy",7443242483.26865,7.85262081984843,"Occupancy",26663952093.2013,28.1304694583273,"Occupancy",48843178900.9451,51.5295537404971
"7","Conditioned Space",8837699330.49944,9.32377279367691,"Conditioned Space",58361282782.2652,61.5711533352898,"Conditioned Space",108348281040.723,114.307436497963
"8","Intensity",-61722791463.6042,-65.1175449941024,"Intensity",-33858004723.1061,-35.720194982877,"Intensity",-158281678435.739,-166.987170749705
"9","Weather",-13569752819.2637,-14.3160892243232,"Weather",6269900287.27309,6.61474480307311,"Weather",110095685163.482,116.150947847473
"10","1993",483614429083.06,510.213222682628,"2001",665400909805.488,701.997959844789,"2015",833825693681.83,879.686106834331
"11","Population",45079264955.6309,47.5586245281906,"Population",49532227383.3361,52.2564998894196,"NA",0,0
"12","Region",13802970243.4786,14.5621336068699,"Region",11811129464.2106,12.4607415847422,"NA",0,0
"13","Type",-4539783922.87495,-4.78947203863307,"Type",9365030236.07037,9.88010689905424,"NA",0,0
"14","Cohort",10995296537.4603,11.6000378470206,"Cohort",25903001294.2419,27.3276663654252,"NA",0,0
"15","Occupancy",19220709609.9326,20.2778486384789,"Occupancy",9629435419.45844,10.1590543675287,"NA",0,0
"16","Conditioned Space",49523583451.7658,52.2473805416129,"Conditioned Space",38808951993.4494,40.9434443530891,"NA",0,0
"17","Intensity",27864786740.498,29.3973500112254,"Intensity",-103211217983.052,-108.88783497212,"NA",0,0
"18","Weather",19839653106.5368,20.9308340273964,"Weather",-19772546538.2097,-20.8600365978113,"NA",0,0
"19","2001",201,2.12055e-07,"2009",687466921074.992,725.277601734117,"NA",0,0
"20","Population",30655187929.1253,32.3412232652271,"Population",22359633699.8242,23.5894135533146,"NA",0,0
"21","Region",1155934507.60305,1.21951090552122,"Region",5568752703.93799,5.87503410265457,"NA",0,0
"22","Type",9928112081.15092,10.4741582456142,"Type",-6608596123.5176,-6.97206891031107,"NA",0,0
"23","Cohort",23678184319.3292,24.9804844568923,"Cohort",-1074731011.53827,-1.13384121717288,"NA",0,0
"24","Occupancy",15592888497.129,16.4504973644711,"Occupancy",12549791388.2854,13.2400299146411,"NA",0,0
"25","Conditioned Space",29122052517.6955,30.7237654061688,"Conditioned Space",11178046265.0084,11.7928388095839,"NA",0,0
"26","Intensity",96864881010.1369,102.192449465694,"Intensity",-21212455729.5812,-22.3791407947082,"NA",0,0
"27","Weather",79745015898.5825,84.1309917730045,"Weather",123598331414.418,130.396239642211,"NA",0,0
"28","2005",952143166566.24,1004.51104072738,"2015",833825693681.83,879.686106834331,"NA",0,0
"29","Population",18877039454.2108,19.9152766241924,"NA",0,0,"NA",0,0
"30","Region",10655194956.6075,11.2412306792209,"NA",0,0,"NA",0,0
"31","Type",-563081845.080549,-0.594051346559979,"NA",0,0,"NA",0,0
"32","Cohort",2224816974.91265,2.34718190853285,"NA",0,0,"NA",0,0
"33","Occupancy",-5963453077.67061,-6.29144299694249,"NA",0,0,"NA",0,0
"34","Conditioned Space",9686899475.75385,10.2196789469203,"NA",0,0,"NA",0,0
"35","Intensity",-200076098993.189,-211.080284437814,"NA",0,0,"NA",0,0
"36","Weather",-99517562436.7922,-104.991028370816,"NA",0,0,"NA",0,0
"37","2009",687466921074.992,725.277601734117,"NA",0,0,"NA",0,0
"38","Population",22359633699.8242,23.5894135533146,"NA",0,0,"NA",0,0
"39","Region",5568752703.93799,5.87503410265457,"NA",0,0,"NA",0,0
"40","Type",-6608596123.5176,-6.97206891031107,"NA",0,0,"NA",0,0
"41","Cohort",-1074731011.53827,-1.13384121717288,"NA",0,0,"NA",0,0
"42","Occupancy",12549791388.2854,13.2400299146411,"NA",0,0,"NA",0,0
"43","Conditioned Space",11178046265.0084,11.7928388095839,"NA",0,0,"NA",0,0
"44","Intensity",-21212455729.5812,-22.3791407947082,"NA",0,0,"NA",0,0
"45","Weather",123598331414.418,130.396239642211,"NA",0,0,"NA",0,0
"46","2015",833825693681.83,879.686106834331,"NA",0,0,"NA",0,0
