"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",1714602636220.65,1808.90578121278,"1990",1714602636220.65,1808.90578121278,"1990",1714602636220.65,1808.90578121278
"2","Population",45780053145.7295,48.2979560687447,"Population",191614846029.231,202.153662560839,"Population",415964586009.31,438.842638239822
"3","Region",4199273509.41438,4.43023355243217,"Region",48742719251.0593,51.4235688098676,"Region",101932246561.906,107.538520122811
"4","Type",8167805832.13309,8.61703515290041,"Type",-6326126106.78131,-6.67406304265428,"Type",3121426412.75646,3.29310486545807
"5","Cohort",-6826138904.49682,-7.20157654424414,"Cohort",28088723966.618,29.633603784782,"Cohort",104918335059.912,110.688843488207
"6","Occupancy",24778508354.2895,26.1413263137754,"Occupancy",87119843456.0925,91.9114348461776,"Occupancy",155213851864.368,163.750613716908
"7","Conditioned Space",29927178801.224,31.5731736352913,"Conditioned Space",189907404660.317,200.352311916634,"Conditioned Space",343044369482.59,361.911809804132
"8","Intensity",-187928297361.792,-198.264353716691,"Intensity",-92915370451.3403,-98.025715826164,"Intensity",-475062517172.191,-501.190955616661
"9","Electricity Efficiency",-13423238729.0017,-14.1615168590968,"Electricity Efficiency",-43794760017.5549,-46.2034718185204,"Electricity Efficiency",-244953277624.066,-258.42570789339
"10","Weather",-43864840579.9452,-46.2774068118422,"Weather",21658394499.6555,22.8496061971365,"Weather",333061460654.406,351.379840990398
"11","1993",1575412940288.2,1662.06065200405,"2001",2138698311507.94,2256.32671864088,"2015",2451843117469.64,2586.69448893047
"12","Population",145834792883.502,153.855706492094,"Population",156987698634.415,165.622022059308,"NA",0,0
"13","Region",44543445741.6449,46.9933352574354,"Region",36563099334.0489,38.5740697974216,"NA",0,0
"14","Type",-14493931938.9144,-15.2910981955547,"Type",29428845088.1716,31.047431568021,"NA",0,0
"15","Cohort",34914862871.1148,36.8351803290261,"Cohort",81075631413.837,85.534791141598,"NA",0,0
"16","Occupancy",62341335101.803,65.7701085324021,"Occupancy",31108743628.0343,32.8197245275762,"NA",0,0
"17","Conditioned Space",159980225859.093,168.779138281343,"Conditioned Space",120373913555.949,126.994478801526,"NA",0,0
"18","Intensity",95012926910.4521,100.238637890527,"Intensity",-319299199937.064,-336.860655933603,"NA",0,0
"19","Electricity Efficiency",-30371521288.5532,-32.0419549594236,"Electricity Efficiency",-86493820083.952,-91.2509801885693,"NA",0,0
"20","Weather",65523235079.6007,69.1270130089788,"Weather",-63222827841.3506,-66.7000833726249,"NA",0,0
"21","2001",201,2.12055e-07,"2009",2125220395300.03,2242.10751704153,"NA",0,0
"22","Population",97839757665.9355,103.220944337562,"Population",67362041345.6643,71.0669536196758,"NA",0,0
"23","Region",3472195751.87954,3.66316651823292,"Region",16626427976.7982,17.5408815155221,"NA",0,0
"24","Type",31631324114.4012,33.3710469406932,"Type",-19981292568.6338,-21.0802636599086,"NA",0,0
"25","Cohort",74715482656.0612,78.8248342021446,"Cohort",-4246020320.54343,-4.47955143817331,"NA",0,0
"26","Occupancy",50031008931.0608,52.7827144222692,"Occupancy",36985264780.2408,39.019454343154,"NA",0,0
"27","Conditioned Space",92015289719.87,97.0761306544628,"Conditioned Space",32763051266.3237,34.5650190859715,"NA",0,0
"28","Intensity",306840580879.809,323.716812828199,"Intensity",-62847946783.7861,-66.3045838568943,"NA",0,0
"29","Electricity Efficiency",-31686620838.4107,-33.4293849845233,"Electricity Efficiency",-114664697522.559,-120.9712558863,"NA",0,0
"30","Weather",256090743488.159,270.175734380008,"Weather",374625893996.101,395.230318165886,"NA",0,0
"31","2005",3019648073876.71,3185.72871793993,"2015",2451843117469.64,2586.69448893047,"NA",0,0
"32","Population",59147940968.4793,62.4010777217456,"NA",0,0,"NA",0,0
"33","Region",33090903582.1694,34.9109032791887,"NA",0,0,"NA",0,0
"34","Type",-2202479026.22963,-2.32361537267226,"NA",0,0,"NA",0,0
"35","Cohort",6360148757.77577,6.70995693945344,"NA",0,0,"NA",0,0
"36","Occupancy",-18922265303.0265,-19.962989894693,"NA",0,0,"NA",0,0
"37","Conditioned Space",28358623836.0792,29.9183481470636,"NA",0,0,"NA",0,0
"38","Intensity",-626139780816.874,-660.577468761802,"NA",0,0,"NA",0,0
"39","Electricity Efficiency",-54807199245.5412,-57.821595204046,"NA",0,0,"NA",0,0
"40","Weather",-319313571329.51,-336.875817752633,"NA",0,0,"NA",0,0
"41","2009",2125220395300.03,2242.10751704153,"NA",0,0,"NA",0,0
"42","Population",67362041345.6643,71.0669536196758,"NA",0,0,"NA",0,0
"43","Region",16626427976.7982,17.5408815155221,"NA",0,0,"NA",0,0
"44","Type",-19981292568.6338,-21.0802636599086,"NA",0,0,"NA",0,0
"45","Cohort",-4246020320.54343,-4.47955143817331,"NA",0,0,"NA",0,0
"46","Occupancy",36985264780.2408,39.019454343154,"NA",0,0,"NA",0,0
"47","Conditioned Space",32763051266.3237,34.5650190859715,"NA",0,0,"NA",0,0
"48","Intensity",-62847946783.7861,-66.3045838568943,"NA",0,0,"NA",0,0
"49","Electricity Efficiency",-114664697522.559,-120.9712558863,"NA",0,0,"NA",0,0
"50","Weather",374625893996.101,395.230318165886,"NA",0,0,"NA",0,0
"51","2015",2451843117469.64,2586.69448893047,"NA",0,0,"NA",0,0
