"","Effect","kg","Mton","Effect3","kg3","Mton3","Effect1","kg1","Mton1"
"1","1990",359364981065.337,359.364981065337,"1990",359364981065.337,359.364981065337,"1990",359364981065.337,359.364981065337
"2","Population",10720181031.51,10.72018103151,"Population",41240709067.4866,41.2407090674866,"Population",72302081199.5854,72.3020811995854
"3","Region",-413248407.830214,-0.413248407830214,"Region",-8125029339.17868,-8.12502933917868,"Region",-10856203077.5647,-10.8562030775647
"4","Type",-4609209209.49794,-4.60920920949794,"Type",-9950885380.84927,-9.95088538084927,"Type",-5395305459.52652,-5.39530545952652
"5","Cohort",-6616232028.01697,-6.61623202801697,"Cohort",-15336236330.1092,-15.3362363301092,"Cohort",-32294487760.6034,-32.2944877606034
"6","Fuel",4309409815.42718,4.30940981542718,"Fuel",-3925334655.77049,-3.92533465577049,"Fuel",-16665454770.2595,-16.6654547702595
"7","Occupancy",2977015024.65506,2.97701502465506,"Occupancy",18769749904.1748,18.7697499041748,"Occupancy",25180770536.1737,25.1807705361737
"8","Conditioned Space",11234115235.6417,11.2341152356417,"Conditioned Space",17490414090.8811,17.4904140908811,"Conditioned Space",17156121531.7051,17.1561215317051
"9","Intensity",-29358396527.2563,-29.3583965272563,"Intensity",-36204761737.4539,-36.2047617374539,"Intensity",-16598563647.0071,-16.5985636470071
"10","GHG Intensity",233402101.924641,0.233402101924641,"GHG Intensity",-147426216.170755,-0.147426216170755,"GHG Intensity",-26238170896.3203,-26.2381708963203
"11","Weather",58242150334.9443,58.2421503349443,"Weather",12975239828.7264,12.9752398287264,"Weather",8871332383.77546,8.87133238377546
"12","1993",406084168436.838,406.084168436838,"2001",376151420297.073,376.151420297074,"2015",374825563127.928,374.825563127928
"13","Population",30520528035.9766,30.5205280359766,"Population",20800681641.09,20.80068164109,"NA",0,0
"14","Region",-7711780931.34846,-7.71178093134846,"Region",-192236618.276864,-0.192236618276864,"NA",0,0
"15","Type",-5341676171.35133,-5.34167617135133,"Type",7740541010.81414,7.74054101081414,"NA",0,0
"16","Cohort",-8720004302.09221,-8.72000430209221,"Cohort",-15824537103.4917,-15.8245371034917,"NA",0,0
"17","Fuel",-8234744471.19767,-8.23474447119767,"Fuel",-6301853534.05428,-6.30185353405428,"NA",0,0
"18","Occupancy",15792734879.5198,15.7927348795198,"Occupancy",-663902176.982568,-0.663902176982568,"NA",0,0
"19","Conditioned Space",6256298855.23936,6.25629885523936,"Conditioned Space",-26106725760.8819,-26.1067257608819,"NA",0,0
"20","Intensity",-6846365210.19767,-6.84636521019767,"Intensity",-23255206671.6009,-23.2552066716009,"NA",0,0
"21","GHG Intensity",-380828318.095396,-0.380828318095396,"GHG Intensity",-8519739514.56706,-8.51973951456706,"NA",0,0
"22","Weather",-45266910506.2178,-45.2669105062178,"Weather",22210869327.0925,22.2108693270925,"NA",0,0
"23","2001",376151420297.073,376.151420297074,"2009",346037772918.848,346.037772918848,"NA",0,0
"24","Population",13107132551.2416,13.1071325512416,"Population",10260690491.0088,10.2606904910088,"NA",0,0
"25","Region",314467934.976534,0.314467934976534,"Region",-2538937120.10917,-2.53893712010917,"NA",0,0
"26","Type",8103016758.37899,8.10301675837899,"Type",-3184961089.49139,-3.18496108949139,"NA",0,0
"27","Cohort",-13476469237.5362,-13.4764692375362,"Cohort",-1133714327.00254,-1.13371432700254,"NA",0,0
"28","Fuel",-1323240955.87527,-1.32324095587527,"Fuel",-6438266580.43472,-6.43826658043472,"NA",0,0
"29","Occupancy",5781654364.61511,5.78165436461511,"Occupancy",7074922808.98141,7.07492280898141,"NA",0,0
"30","Conditioned Space",-34061182849.4128,-34.0611828494128,"Conditioned Space",25772433201.7059,25.7724332017059,"NA",0,0
"31","Intensity",-26981149768.4466,-26.9811497684466,"Intensity",42861404762.0478,42.8614047620478,"NA",0,0
"32","GHG Intensity",-3182940100.1103,-3.1829401001103,"GHG Intensity",-17571005165.5825,-17.5710051655825,"NA",0,0
"33","Weather",10826303763.5251,10.8263037635251,"Weather",-26314776772.0434,-26.3147767720434,"NA",0,0
"34","2005",335259012758.43,335.25901275843,"2015",374825563127.928,374.825563127928,"NA",0,0
"35","Population",7693549089.84836,7.69354908984836,"NA",0,0,"NA",0,0
"36","Region",-506704553.253398,-0.506704553253398,"NA",0,0,"NA",0,0
"37","Type",-362475747.564854,-0.362475747564854,"NA",0,0,"NA",0,0
"38","Cohort",-2348067865.95548,-2.34806786595548,"NA",0,0,"NA",0,0
"39","Fuel",-4978612578.179,-4.97861257817901,"NA",0,0,"NA",0,0
"40","Occupancy",-6445556541.59768,-6.44555654159768,"NA",0,0,"NA",0,0
"41","Conditioned Space",7954457088.53088,7.95445708853088,"NA",0,0,"NA",0,0
"42","Intensity",3725943096.84562,3.72594309684562,"NA",0,0,"NA",0,0
"43","GHG Intensity",-5336799414.45675,-5.33679941445676,"NA",0,0,"NA",0,0
